sleep_s,test_case,producers,consumers,elapsed_s,produced,consumed,throughput
0.00013,1,1,1,.005695000,351,304,1.66434e+06
0.00013,2,4,1,.005654000,278,75,310238
0.00013,3,16,1,.006026000,681,8,19927.3
0.00013,4,1,2,.005281000,333,552,2.84781e+06
0.00013,5,4,2,.005864000,263,47,210134
0.00013,6,16,2,.005260000,602,21,55390.7
0.00013,7,1,4,.005027000,107,181,885987
0.00013,8,4,4,.007041000,294,208,777727
0.00013,9,16,4,.005562000,529,104,244945
0.00013,10,1,16,.005258000,94,507,1.35859e+06
0.00013,11,4,16,.006259000,191,416,1.08536e+06
0.00013,12,16,16,.006477000,542,281,501820
0.00014,1,1,1,.005235000,322,268,1.35896e+06
0.00014,2,4,1,.005367000,281,65,284723
0.00014,3,16,1,.005767000,563,0,0
0.00014,4,1,2,.005228000,227,252,1.21994e+06
0.00014,5,4,2,.005434000,259,101,452273
0.00014,6,16,2,.005796000,552,75,186587
0.00014,7,1,4,.005399000,109,225,1.04406e+06
0.00014,8,4,4,.005983000,314,255,866180
0.00014,9,16,4,.006775000,608,106,224655
0.00014,10,1,16,.005603000,87,486,1.24257e+06
0.00014,11,4,16,.005958000,244,479,1.08521e+06
0.00014,12,16,16,.006015000,688,254,417134
0.00015,1,1,1,.005229000,348,295,1.41454e+06
0.00015,2,4,1,.005481000,288,60,255365
0.00015,3,16,1,.006133000,428,27,68325.5
0.00015,4,1,2,.005157000,243,386,1.79663e+06
0.00015,5,4,2,.005528000,260,76,327108
0.00015,6,16,2,.006128000,691,65,127796
0.00015,7,1,4,.005667000,125,234,958719
0.00015,8,4,4,.005316000,226,107,421384
0.00015,9,16,4,.005994000,625,133,290604
0.00015,10,1,16,.005546000,76,149,405995
0.00015,11,4,16,.005611000,183,517,1.02324e+06
0.00015,12,16,16,.005864000,671,277,444741
0.00016,1,1,1,.006235000,415,358,1.61933e+06
0.00016,2,4,1,.005380000,306,52,224927
0.00016,3,16,1,.006166000,531,19,49423.4
0.00016,4,1,2,.005585000,155,208,919936
0.00016,5,4,2,.007614000,267,107,444805
0.00016,6,16,2,.008182000,630,40,96247.5
0.00016,7,1,4,.005762000,160,164,644877
0.00016,8,4,4,.005866000,225,201,741075
0.00016,9,16,4,.006558000,544,60,126150
0.00016,10,1,16,.005979000,80,205,546419
0.00016,11,4,16,.007454000,287,708,1.10531e+06
0.00016,12,16,16,.010609000,809,182,263923
0.00017,1,1,1,.004954000,517,456,1.67476e+06
